hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
disc-store-001.crc.nd.edu,10.6.0,658549,unknown,,512,64,256888,453503888,40000Mb/s,glibc-2.34-83.el9_3.12.x86_64,true,true,false,true,true,true,true,,"https,dav,davs,http,data,ftp,file,s3,gs",true,true,true,true,true,false,,0,0,5748204,32130,Red Hat Enterprise Linux release 9.3 (Plow),true
d8civy114.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,451769680,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1730.002075,0,0,1665175,25149,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy028.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,448879680,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1739.258057,0,0,1694208,18135,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas070.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,945898844,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1871.176025,0,0,1680186,26423,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy009.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,425133086,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1729.585205,0,0,1689551,25071,Red Hat Enterprise Linux release 8.9 (Ootpa),
d32cepyc030.crc.nd.edu,8.8.14,550418,unknown,,512,64,256867,417068340,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,2472.898926,0,0,4458344,24469,Red Hat Enterprise Linux release 8.9 (Ootpa),true
camd02.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2660 0,20480,16,63853,429654532,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1488.950562,5,0,1562192,21403,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas198.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1350673828,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1858.367554,0,0,,,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas540.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,1882267212,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1871.019653,0,0,1715334,26400,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy070.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,445381544,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1737.133301,0,0,1694426,25326,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas074.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,944680508,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1879.224365,0,0,1708273,26292,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-1080ti-002.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2650 v4,30720,24,128260,908366268,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1783.252441,0,0,1707053,23731,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy045.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,446320208,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1737.741821,0,0,1666191,25156,Red Hat Enterprise Linux release 8.9 (Ootpa),
d32cepyc096.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,888721364,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3037.316162,2,0,5459244,29696,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas025.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,71235,944105936,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1874.477173,0,0,1725979,24929,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas533.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,1914894060,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1863.505127,0,0,1699964,26395,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy134.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,938381456,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1727.32666,0,0,1674637,25281,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas115.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1336808556,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1901.875122,0,0,1755858,26105,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-xp-005.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2650 v4,30720,24,128260,912585288,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1758.343262,0,0,1685807,23709,Red Hat Enterprise Linux release 8.9 (Ootpa),true
disc23.crc.nd.edu,8.8.14,550418,2.40GHz,Intel(R) Xeon(R) CPU           E5620,12288,8,31998,1875473304,1000Mb/s,glibc-2.17-326.el7_9.x86_64,true,,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1157.226196,0,0,1353830,18873,Red Hat Enterprise Linux Server release 7.9 (Maipo),
